date,ticker,threshold,model_prob,market_prob,edge,settlement,y_true,mu,sigma,direction,entry_price,settle_value,fee_per_contract,pnl_per_contract_gross,pnl_per_contract,fee_dollars,pnl_dollars
2025-04-17,KXHIGHAUS,85,0.9791502410082367,0.7010821332881652,0.2780681077200715,1.0,89.0,87.31801688671112,1.1382319927215576,YES,70.10821332881652,100.0,2.092425066982844,29.891786671183482,27.799361604200637,5.231062667457111,69.49840401050159
2025-04-18,KXHIGHAUS,90,0.8981560790810494,0.41820128680466245,0.479954792276387,1.0,91.0,91.41203638712564,1.1108646392822266,YES,41.82012868046625,100.0,4.072590992367363,58.17987131953375,54.10728032716639,10.181477480918408,135.26820081791598
2025-04-19,KXHIGHAUS,80,0.9988111382294801,0.8853391604541969,0.11347197777528317,1.0,85.0,84.00386809110641,1.3177193403244019,YES,88.53391604541969,100.0,0.8026258768206219,11.466083954580313,10.66345807775969,2.0065646920515547,26.658645194399227
2025-04-20,KXHIGHAUS,80,0.9999984377791995,0.8189301923100865,0.18106824546911304,1.0,87.0,85.87442412376403,1.2599395513534546,YES,81.89301923100865,100.0,1.2674886538293946,18.10698076899135,16.839492115161953,3.1687216345734863,42.098730287904885
2025-04-20,KXHIGHAUS,85,0.7561653848375519,0.3340180089754705,0.4221473758620814,1.0,87.0,85.87442412376403,1.2599395513534546,YES,33.40180089754705,100.0,4.661873937171707,66.59819910245295,61.93632516528125,11.654684842929269,154.8408129132031
2025-04-21,KXHIGHAUS,85,0.9915535384142382,0.5435999823193919,0.44795355609484633,1.0,89.0,87.55005825360615,1.0674031972885132,YES,54.35999823193919,100.0,3.1948001237642574,45.64000176806081,42.44520164429655,7.987000309410644,106.11300411074139
2025-04-22,KXHIGHAUS,85,0.9977095054575786,0.6649379108011446,0.332771594656434,1.0,88.0,88.10205384890237,1.0941563844680786,YES,66.49379108011446,100.0,2.345434624391988,33.50620891988554,31.16077429549355,5.863586560979971,77.90193573873387
2025-04-22,KXHIGHAUS,90,0.04140401842913947,0.15239424721614614,-0.11099022878700668,0.0,88.0,88.10205384890237,1.0941563844680786,NO,84.76057527838539,100.0,1.066759730513023,15.239424721614611,14.172664991101588,2.6668993262825573,35.431662477753974
2025-04-23,KXHIGHAUS,80,0.9999359937661337,0.8575210620142217,0.142414931751912,1.0,86.0,84.61076183319092,1.2037752866744995,YES,85.75210620142218,100.0,0.9973525659004475,14.24789379857782,13.250541232677373,2.4933814147511186,33.12635308169343
2025-04-24,KXHIGHAUS,80,0.9999971382210086,0.8067945969045345,0.19320254131647407,1.0,87.0,85.5109682559967,1.2148457765579224,YES,80.67945969045344,100.0,1.3524378216682593,19.32054030954656,17.968102487878298,3.3810945541706485,44.920256219695744
2025-04-24,KXHIGHAUS,85,0.6629776422751603,0.32772792175723775,0.33524972051792257,1.0,87.0,85.5109682559967,1.2148457765579224,YES,32.77279217572377,100.0,4.705904547699337,67.22720782427623,62.5213032765769,11.764761369248342,156.30325819144227
2025-04-25,KXHIGHAUS,85,0.6337373928780667,0.20658517934059217,0.42715221353747457,1.0,87.0,85.40856482187907,1.1954436302185059,YES,20.65851793405922,100.0,5.553903744615855,79.34148206594078,73.78757832132493,13.884759361539638,184.4689458033123
2025-04-26,KXHIGHAUS,80,0.9999997529753157,0.8152675031880476,0.1847322497872681,1.0,85.0,85.93091931343078,1.1794352531433105,YES,81.52675031880476,100.0,1.293127477683667,18.47324968119524,17.180122203511573,3.2328186942091675,42.95030550877893
2025-04-26,KXHIGHAUS,85,0.7850294441027477,0.29906587238484705,0.4859635717179006,0.0,85.0,85.93091931343078,1.1794352531433105,YES,29.906587238484704,0.0,4.906538893306071,-29.906587238484704,-34.813126131790774,12.266347233265178,-87.03281532947695
2025-04-27,KXHIGHAUS,85,0.9332555320595499,0.5856648177225513,0.3475907143369986,0.0,85.0,86.87071657180786,1.2467416524887085,YES,58.56648177225513,0.0,2.900346275942141,-58.56648177225513,-61.46682804819727,7.2508656898553525,-153.66707012049318
2025-04-27,KXHIGHAUS,90,0.006037080775893755,0.1100415101107583,-0.10400442933486455,0.0,85.0,86.87071657180786,1.2467416524887085,NO,88.99584898892417,100.0,0.7702905707753085,11.004151011075834,10.233860440300525,1.9257264269382715,25.584651100751312
2025-04-28,KXHIGHAUS,85,0.9470187742136826,0.5912630412552019,0.35575573295848073,1.0,86.0,86.9477472782135,1.204834222793579,YES,59.12630412552019,100.0,2.861158711213587,40.87369587447981,38.012537163266224,7.152896778033966,95.03134290816556
2025-04-29,KXHIGHAUS,85,0.9936552887718825,0.6631450872364228,0.3305102015354596,1.0,87.0,88.02217559814453,1.212571620941162,YES,66.31450872364229,100.0,2.35798438934504,33.68549127635771,31.327506887012667,5.8949609733626,78.31876721753167
2025-04-29,KXHIGHAUS,90,0.0514347120490169,0.17432721090070535,-0.12289249885168846,0.0,87.0,88.02217559814453,1.212571620941162,NO,82.56727890992947,100.0,1.2202904763049371,17.43272109007053,16.21243061376559,3.050726190762343,40.53107653441398
2025-04-30,KXHIGHAUS,80,0.9999993899799019,0.8000305709829609,0.19996881899694097,1.0,88.0,86.09334384600321,1.2557498216629028,YES,80.0030570982961,100.0,1.3997860031192733,19.996942901703903,18.59715689858463,3.4994650077981833,46.49289224646157
2025-04-30,KXHIGHAUS,85,0.8080328506587928,0.37374445561262915,0.4342883950461637,1.0,88.0,86.09334384600321,1.2557498216629028,YES,37.37444556126292,100.0,4.3837888107115965,62.62555443873708,58.24176562802549,10.959472026778991,145.6044140700637
2025-05-01,KXHIGHAUS,85,0.9999999673593768,0.7127417726837413,0.2872581946756355,1.0,92.0,91.48761221567788,1.2005877494812012,YES,71.27417726837413,100.0,2.010807591213811,28.72582273162587,26.715015140412056,5.027018978034528,66.78753785103014
2025-05-01,KXHIGHAUS,90,0.8923402048111491,0.2404264892793107,0.6519137155318384,1.0,92.0,91.48761221567788,1.2005877494812012,YES,24.042648927931072,100.0,5.317014575044825,75.95735107206893,70.64033649702411,13.292536437612064,176.60084124256028
